id,fileName,avgCghSetSize,avgChurn,avgLoc,cghSetSize,churn,locAdded,maxCghSetSize,maxChurn,maxLoc,bug
1,src/java/org/apache/avro/io/BinaryEncoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/io/DatumWriter.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/io/DatumWriter.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/io/ResolvingDecoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/io/ValidatingDecoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/io/ValidatingEncoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/ipc/AvroRemoteException.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/ipc/AvroRemoteException.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/ipc/ByteBufferInputStream.java,3.0,1.0,1.5,6,2.0,3,6.0,2,3,no
1,src/java/org/apache/avro/ipc/ByteBufferInputStream.java,3.0,1.0,1.5,6,2.0,3,6.0,2,3,no
1,src/java/org/apache/avro/ipc/ByteBufferOutputStream.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/ipc/ByteBufferOutputStream.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/io/ParsingTable.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/io/ResolvingTable.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/test/java/org/apache/avro/io/TestParsingTable.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/test/java/org/apache/avro/io/TestResolvingTable.java,1.0,17.0,17.0,2,17.0,17,2.0,17,17,no
1,src/java/org/apache/avro/io/DatumReader.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/io/DatumReader.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/test/java/org/apache/avro/io/TestValueReader.java,2.5,19.5,32.0,5,78.0,128,5.0,80,128,no
1,src/java/org/apache/avro/ipc/ByteBufferValueReader.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/ipc/ByteBufferValueReader.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/ipc/ByteBufferValueWriter.java,2.5,0.0,0.0,5,0.0,0,5.0,0,0,no
1,src/java/org/apache/avro/ipc/ByteBufferValueWriter.java,2.5,0.0,0.0,5,0.0,0,5.0,0,0,no
1,src/java/org/apache/avro/io/BlockingValueWriter.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/io/ValueReader.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/io/ValueReader.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/io/ValueWriter.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/io/ValueWriter.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,JsonSchema.java,2.0,0.0,68.0,4,0.0,272,4.0,136,272,no
1,JsonSchema.java,2.0,0.0,68.0,4,0.0,272,4.0,136,272,no
1,JsonSchemaWalker.java,2.0,0.0,56.0,4,0.0,224,4.0,112,224,no
1,JsonSchemaWalker.java,2.0,0.0,56.0,4,0.0,224,4.0,112,224,no
2,src/java/org/apache/avro/ipc/Requestor.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/ipc/Responder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
2,src/java/org/apache/avro/reflect/ReflectDatumReader.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
