Dataset;TrainRelease;%Train;TrainDefective;TestDefective;getClassifier;Balancing;FeatureSelection;Tp;Fp;Tn;Fn;Precision;Recall;Roc;Kappa
Bookkeeper;2;0.4998558662438743;96.0;45.0;Ibk;Undersampling;Best first;40.0;103.0;575.0;5.0;0.27972027972027974;0.8888888888888888;0.870747295968535;0.3654493149349065
Bookkeeper;2;0.4998558662438743;96.0;45.0;RandomForest;SMOTE;Best first;15.0;21.0;657.0;30.0;0.4166666666666667;0.3333333333333333;0.9286627335299902;0.33349601431592685
Bookkeeper;2;0.4998558662438743;96.0;45.0;NaiveBayes;SMOTE;Best first;1.0;1.0;677.0;44.0;0.5;0.022222222222222223;0.8655195018026877;0.03745451318008399
Bookkeeper;2;0.4998558662438743;96.0;45.0;Ibk;SMOTE;Best first;14.0;20.0;658.0;31.0;0.4117647058823529;0.3111111111111111;0.9285971812520485;0.31788667517620306
Bookkeeper;3;0.4998968008255934;153.0;57.0;RandomForest;No sampling;No selection;3.0;3.0;627.0;54.0;0.5;0.05263157894736842;0.9077137287663604;0.08070990914853242
Bookkeeper;3;0.4998968008255934;153.0;57.0;NaiveBayes;No sampling;No selection;0.0;0.0;630.0;57.0;NaN;0.0;0.8092592592592592;0.0
Bookkeeper;3;0.4998968008255934;153.0;57.0;Ibk;No sampling;No selection;0.0;0.0;630.0;57.0;NaN;0.0;0.9074631021999443;0.0
Bookkeeper;3;0.4998968008255934;153.0;57.0;RandomForest;Oversampling;No selection;57.0;170.0;460.0;0.0;0.2511013215859031;1.0;0.9027011974380396;0.3098741357915264
Bookkeeper;3;0.4998968008255934;153.0;57.0;NaiveBayes;Oversampling;No selection;53.0;150.0;480.0;4.0;0.26108374384236455;0.9298245614035088;0.9016151489835701;0.31953073746768035
Bookkeeper;3;0.4998968008255934;153.0;57.0;Ibk;Oversampling;No selection;57.0;173.0;457.0;0.0;0.24782608695652175;1.0;0.9027986633249792;0.3047575592720636
Bookkeeper;3;0.4998968008255934;153.0;57.0;RandomForest;Undersampling;No selection;55.0;408.0;222.0;2.0;0.11879049676025918;0.9649122807017544;0.8640768588137009;0.07484776225292153
Bookkeeper;3;0.4998968008255934;153.0;57.0;NaiveBayes;Undersampling;No selection;55.0;419.0;211.0;2.0;0.1160337552742616;0.9649122807017544;0.8463241436925647;0.0692944095301534
Bookkeeper;3;0.4998968008255934;153.0;57.0;Ibk;Undersampling;No selection;52.0;424.0;206.0;5.0;0.1092436974789916;0.9122807017543859;0.8479671400724033;0.05509334513172192
Bookkeeper;3;0.4998968008255934;153.0;57.0;RandomForest;SMOTE;No selection;20.0;44.0;586.0;37.0;0.3125;0.3508771929824561;0.9005012531328321;0.2661708272342444
Bookkeeper;3;0.4998968008255934;153.0;57.0;NaiveBayes;SMOTE;No selection;3.0;6.0;624.0;54.0;0.3333333333333333;0.05263157894736842;0.845600111389585;0.06986190089358299
Bookkeeper;3;0.4998968008255934;153.0;57.0;Ibk;SMOTE;No selection;14.0;23.0;607.0;43.0;0.3783783783783784;0.24561403508771928;0.9027568922305764;0.2488071570576538
Bookkeeper;3;0.4998968008255934;153.0;57.0;RandomForest;No sampling;Best first;2.0;2.0;628.0;55.0;0.5;0.03508771929824561;0.9063213589529379;0.05529420279366057
Bookkeeper;3;0.4998968008255934;153.0;57.0;NaiveBayes;No sampling;Best first;0.0;0.0;630.0;57.0;NaN;0.0;0.8092592592592592;0.0
Bookkeeper;3;0.4998968008255934;153.0;57.0;Ibk;No sampling;Best first;0.0;0.0;630.0;57.0;NaN;0.0;0.9074631021999443;0.0
Bookkeeper;3;0.4998968008255934;153.0;57.0;RandomForest;Oversampling;Best first;54.0;158.0;472.0;3.0;0.25471698113207547;0.9473684210526315;0.9013923698134224;0.31143897656177055
Bookkeeper;3;0.4998968008255934;153.0;57.0;NaiveBayes;Oversampling;Best first;54.0;148.0;482.0;3.0;0.26732673267326734;0.9473684210526315;0.9017265385686438;0.33031858235692835
Bookkeeper;3;0.4998968008255934;153.0;57.0;Ibk;Oversampling;Best first;54.0;148.0;482.0;3.0;0.26732673267326734;0.9473684210526315;0.9017543859649123;0.33031858235692835
Bookkeeper;3;0.4998968008255934;153.0;57.0;RandomForest;Undersampling;Best first;51.0;144.0;486.0;6.0;0.26153846153846155;0.8947368421052632;0.858312447786132;0.317070261242992
Bookkeeper;3;0.4998968008255934;153.0;57.0;NaiveBayes;Undersampling;Best first;48.0;133.0;497.0;9.0;0.26519337016574585;0.8421052631578947;0.861166805903648;0.31719301192675964
Bookkeeper;3;0.4998968008255934;153.0;57.0;Ibk;Undersampling;Best first;48.0;133.0;497.0;9.0;0.26519337016574585;0.8421052631578947;0.8610275689223058;0.31719301192675964
Bookkeeper;3;0.4998968008255934;153.0;57.0;RandomForest;SMOTE;Best first;19.0;26.0;604.0;38.0;0.4222222222222222;0.3333333333333333;0.9011695906432748;0.3229859571322981
Bookkeeper;3;0.4998968008255934;153.0;57.0;NaiveBayes;SMOTE;Best first;1.0;1.0;629.0;56.0;0.5;0.017543859649122806;0.8516986911723754;0.028433196873837302
Bookkeeper;3;0.4998968008255934;153.0;57.0;Ibk;SMOTE;Best first;14.0;16.0;614.0;43.0;0.4666666666666667;0.24561403508771928;0.9014619883040935;0.2806793376989829
Bookkeeper;4;0.49992337164750955;166.0;13.0;RandomForest;No sampling;No selection;0.0;0.0;826.0;13.0;NaN;0.0;0.9749953436394114;0.0
Bookkeeper;4;0.49992337164750955;166.0;13.0;NaiveBayes;No sampling;No selection;0.0;0.0;826.0;13.0;NaN;0.0;0.5925218848947662;0.0
Bookkeeper;4;0.49992337164750955;166.0;13.0;Ibk;No sampling;No selection;0.0;0.0;826.0;13.0;NaN;0.0;0.9749953436394114;0.0
Bookkeeper;4;0.49992337164750955;166.0;13.0;RandomForest;Oversampling;No selection;13.0;66.0;760.0;0.0;0.16455696202531644;1.0;0.9733190538275284;0.262996779088029
Bookkeeper;4;0.49992337164750955;166.0;13.0;NaiveBayes;Oversampling;No selection;11.0;183.0;643.0;2.0;0.05670103092783505;0.8461538461538461;0.8555131309368598;0.07954740880868631
Bookkeeper;4;0.49992337164750955;166.0;13.0;Ibk;Oversampling;No selection;13.0;66.0;760.0;0.0;0.16455696202531644;1.0;0.9691283292978208;0.262996779088029
Bookkeeper;4;0.49992337164750955;166.0;13.0;RandomForest;Undersampling;No selection;10.0;113.0;713.0;3.0;0.08130081300813008;0.7692307692307693;0.9431458372136339;0.12246406867076592
Bookkeeper;4;0.49992337164750955;166.0;13.0;NaiveBayes;Undersampling;No selection;8.0;143.0;683.0;5.0;0.052980132450331126;0.6153846153846154;0.8680387409200968;0.07105558464876176
Bookkeeper;4;0.49992337164750955;166.0;13.0;Ibk;Undersampling;No selection;10.0;120.0;706.0;3.0;0.07692307692307693;0.7692307692307693;0.9132985658409387;0.11492576995977616
Bookkeeper;4;0.49992337164750955;166.0;13.0;RandomForest;SMOTE;No selection;1.0;2.0;824.0;12.0;0.3333333333333333;0.07692307692307693;0.971177127956789;0.11988610819721222
Bookkeeper;4;0.49992337164750955;166.0;13.0;NaiveBayes;SMOTE;No selection;0.0;2.0;824.0;13.0;0.0;0.0;0.6601322406407152;-0.004149046517194949
Bookkeeper;4;0.49992337164750955;166.0;13.0;Ibk;SMOTE;No selection;1.0;2.0;824.0;12.0;0.3333333333333333;0.07692307692307693;0.971177127956789;0.11988610819721222
Bookkeeper;4;0.49992337164750955;166.0;13.0;RandomForest;No sampling;Best first;0.0;0.0;826.0;13.0;NaN;0.0;0.9738778170981561;0.0
Bookkeeper;4;0.49992337164750955;166.0;13.0;NaiveBayes;No sampling;Best first;0.0;0.0;826.0;13.0;NaN;0.0;0.5925218848947662;0.0
Bookkeeper;4;0.49992337164750955;166.0;13.0;Ibk;No sampling;Best first;0.0;0.0;826.0;13.0;NaN;0.0;0.9749953436394114;0.0
Bookkeeper;4;0.49992337164750955;166.0;13.0;RandomForest;Oversampling;Best first;13.0;64.0;762.0;0.0;0.16883116883116883;1.0;0.97052523747439;0.26952168471458854
Bookkeeper;4;0.49992337164750955;166.0;13.0;NaiveBayes;Oversampling;Best first;10.0;179.0;647.0;3.0;0.05291005291005291;0.7692307692307693;0.8603557459489662;0.0721056853260736
Bookkeeper;4;0.49992337164750955;166.0;13.0;Ibk;Oversampling;Best first;13.0;64.0;762.0;0.0;0.16883116883116883;1.0;0.9701061650214192;0.26952168471458854
Bookkeeper;4;0.49992337164750955;166.0;13.0;RandomForest;Undersampling;Best first;12.0;161.0;665.0;1.0;0.06936416184971098;0.9230769230769231;0.8710653753026635;0.10318298186808843
Bookkeeper;4;0.49992337164750955;166.0;13.0;NaiveBayes;Undersampling;Best first;8.0;165.0;661.0;5.0;0.046242774566473986;0.6153846153846154;0.6637642018997951;0.058895721713426157
Bookkeeper;4;0.49992337164750955;166.0;13.0;Ibk;Undersampling;Best first;11.0;150.0;676.0;2.0;0.06832298136645963;0.8461538461538461;0.8813093685975042;0.10064880112835002
Bookkeeper;4;0.49992337164750955;166.0;13.0;RandomForest;SMOTE;Best first;2.0;3.0;823.0;11.0;0.4;0.15384615384615385;0.97052523747439;0.21546887523376915
Bookkeeper;4;0.49992337164750955;166.0;13.0;NaiveBayes;SMOTE;Best first;0.0;2.0;824.0;13.0;0.0;0.0;0.672564723412181;-0.004149046517194949
Bookkeeper;4;0.49992337164750955;166.0;13.0;Ibk;SMOTE;Best first;1.0;2.0;824.0;12.0;0.3333333333333333;0.07692307692307693;0.971177127956789;0.11988610819721222
Bookkeeper;5;0.4999391505415602;179.0;13.0;RandomForest;No sampling;No selection;0.0;0.0;832.0;13.0;NaN;0.0;0.9751756656804734;0.0
Bookkeeper;5;0.4999391505415602;179.0;13.0;NaiveBayes;No sampling;No selection;0.0;0.0;832.0;13.0;NaN;0.0;0.6989644970414202;0.0
Bookkeeper;5;0.4999391505415602;179.0;13.0;Ibk;No sampling;No selection;0.0;0.0;832.0;13.0;NaN;0.0;0.9751756656804734;0.0
Bookkeeper;5;0.4999391505415602;179.0;13.0;RandomForest;Oversampling;No selection;13.0;64.0;768.0;0.0;0.16883116883116883;1.0;0.9733265532544378;0.2696629213483151
Bookkeeper;5;0.4999391505415602;179.0;13.0;NaiveBayes;Oversampling;No selection;9.0;132.0;700.0;4.0;0.06382978723404255;0.6923076923076923;0.8828125;0.09128289473684201
Bookkeeper;5;0.4999391505415602;179.0;13.0;Ibk;Oversampling;No selection;13.0;64.0;768.0;0.0;0.16883116883116883;1.0;0.9715698964497042;0.2696629213483151
Bookkeeper;5;0.4999391505415602;179.0;13.0;RandomForest;Undersampling;No selection;13.0;166.0;666.0;0.0;0.07262569832402235;1.0;0.9571468195266272;0.10988285761425519
Bookkeeper;5;0.4999391505415602;179.0;13.0;NaiveBayes;Undersampling;No selection;6.0;91.0;741.0;7.0;0.061855670103092786;0.46153846153846156;0.881564349112426;0.08424381828637169
Bookkeeper;5;0.4999391505415602;179.0;13.0;Ibk;Undersampling;No selection;12.0;162.0;670.0;1.0;0.06896551724137931;0.9230769230769231;0.898853550295858;0.10265096976369985
Bookkeeper;5;0.4999391505415602;179.0;13.0;RandomForest;SMOTE;No selection;2.0;3.0;829.0;11.0;0.4;0.15384615384615385;0.9713849852071006;0.21551724137930944
Bookkeeper;5;0.4999391505415602;179.0;13.0;NaiveBayes;SMOTE;No selection;0.0;0.0;832.0;13.0;NaN;0.0;0.7848095414201184;0.0
